2.856e-06,5.84,3.732,1.909,-0.61,
0.0013489,6.84,3.732,0.909,6.39,
0.00262108,-1.16,5.732,-0.0909996,7.39,
0.00392143,6.84,-0.268,-3.091,2.39,
0.00531996,7.84,-7.268,0.909,-1.61,
0.00659559,-4.16,-0.268,-4.091,-4.61,
0.00788156,-5.16,-9.268,1.909,-2.61,
0.00923518,-6.16,-5.268,-4.091,-4.61,
0.0105096,-6.16,-5.268,-4.091,-4.61,
0.0117849,-5.16,4.732,-9.091,0.39,
0.0130986,-3.16,5.732,-6.091,-0.61,
0.0143877,-0.16,1.732,6.909,-5.61,
0.0156767,3.84,1.732,1.909,-4.61,
0.016996,5.84,-1.268,0.909,6.39,
0.0182793,1.84,-0.268,5.909,7.39,
0.0195466,1.84,-4.268,15.909,4.39,
0.0208522,5.84,1.732,11.909,-2.61,
0.0221642,8.84,-4.268,-1.091,-4.61,
0.0234418,1.84,-11.268,-6.091,-5.61,
0.0247096,3.84,-9.268,-3.091,-5.61,
0.026007,-7.16,-11.268,-8.091,-3.61,
0.0272976,-2.16,-12.268,-2.091,-1.61,
0.0285943,-1.16,-3.268,-0.0909996,-3.61,
0.0298783,-1.16,-3.268,-0.0909996,-3.61,
0.0311518,0.84,-0.268,5.909,-1.61,
0.0324181,-1.16,2.732,4.909,1.39,
0.0337148,8.84,3.732,7.909,2.39,
0.035005,10.84,-5.268,3.909,-1.61,
0.0362742,-2.16,-5.268,-2.091,1.39,
0.0375461,-2.16,-5.268,-2.091,1.39,
0.0388044,-6.16,-6.268,0.909,0.39,
0.0400625,-1.16,3.732,-2.091,-1.61,
0.0413283,-13.16,1.732,-9.091,-2.61,
0.0425891,-6.16,5.732,-12.091,0.39,
0.0438623,-0.16,4.732,-9.091,-0.61,
0.0451258,-0.16,4.732,-9.091,-0.61,
0.046388,-2.16,-3.268,3.909,-1.61,
0.0476834,-6.16,4.732,0.909,5.39,
0.0489606,2.84,9.732,15.909,0.39,
0.0502272,8.84,6.732,8.909,4.39,
0.0514926,5.84,3.732,0.909,0.39,
0.0527603,2.84,3.732,-5.091,4.39,
0.0540291,-2.16,6.732,-2.091,3.39,
0.0553007,-4.16,-0.268,-5.091,-2.61,
0.056576,-4.16,-1.268,-0.0909996,-1.61,
0.0578681,-4.16,0.732,-7.091,-1.61,
0.0591556,-3.16,7.732,-12.091,-0.61,
0.0604577,-7.16,-6.268,-3.091,-4.61,
0.0617501,-2.16,-7.268,2.909,-2.61,
0.06302,4.84,-3.268,2.909,7.39,
0.0643129,6.84,3.732,-6.091,13.39,
0.0655882,16.84,10.732,2.909,15.39,
0.0668631,14.84,9.732,4.909,11.39,
0.0681389,9.84,-1.268,1.909,6.39,
0.0694376,3.84,0.732,-2.091,3.39,
0.0707154,4.84,-1.268,-3.091,0.39,
0.0719898,4.84,-1.268,-3.091,0.39,
0.0735124,-4.16,-9.268,-6.091,-3.61,
0.0749055,-16.16,-4.268,-5.091,-13.61,
0.0761915,-9.16,2.732,-16.091,-12.61,
0.0775122,-1.16,7.732,-2.091,2.39,
0.0787846,5.84,4.732,-1.091,-2.61,
0.0800483,4.84,-1.268,-4.091,0.39,
0.0813498,6.84,8.732,0.909,13.39,
0.0826191,6.84,8.732,0.909,13.39,
0.0838991,13.84,8.732,-2.091,8.39,
0.085175,15.84,12.732,-0.0909996,5.39,
0.0864726,9.84,8.732,2.909,12.39,
0.0877648,-3.16,4.732,0.909,5.39,
0.0891418,-5.16,-2.268,2.909,-9.61,
0.0904605,-10.16,-14.268,-7.091,-14.61,
0.0917796,-10.16,-14.268,-7.091,-14.61,
0.0931498,-14.16,-1.268,0.909,-11.61,
0.094432,-5.16,-0.268,-3.091,-0.61,
0.0957109,10.84,4.732,2.909,6.39,
0.0970149,16.84,8.732,5.909,2.39,
0.0983262,11.84,8.732,3.909,2.39,
0.099671,13.84,6.732,6.909,11.39,
0.101045,11.84,7.732,5.909,9.39,
0.102313,0.84,-7.268,8.909,12.39,
0.103608,2.84,-7.268,-2.091,5.39,
0.1049,4.84,-0.268,-1.091,-10.61,
0.106186,-3.16,-0.268,0.909,-13.61,
0.107456,-10.16,-8.268,-6.091,-8.61,
0.108742,-9.16,-15.268,-5.091,-4.61,
0.110035,-9.16,-15.268,-5.091,-4.61,
0.111323,-8.16,-9.268,-1.091,5.39,
0.112671,-7.16,8.732,-9.091,7.39,
0.113945,-4.16,3.732,8.909,2.39,
0.115229,3.84,11.732,15.909,1.39,
0.116487,3.84,11.732,15.909,1.39,
0.117757,13.84,3.732,6.909,2.39,
0.119051,16.84,-4.268,-0.0909996,-0.61,
0.120345,13.84,-0.268,-6.091,-1.61,
0.121649,5.84,1.732,-1.091,-7.61,
0.12292,1.84,-7.268,-4.091,-4.61,
0.124228,-7.16,-11.268,-2.091,2.39,
0.125504,-7.16,-11.268,-2.091,2.39,
0.12679,-11.16,-10.268,-9.091,2.39,
0.12806,-1.16,-3.268,3.909,6.39,
0.129327,0.84,2.732,3.909,-0.61,
0.13058,8.84,0.732,8.909,2.39,
0.131846,7.84,-0.268,9.909,2.39,
0.133111,3.84,5.732,5.909,-1.61,
0.134376,1.84,8.732,5.909,-5.61,
0.135672,1.84,-0.268,5.909,-2.61,
0.136967,-0.16,4.732,4.909,-0.61,
0.138243,-6.16,3.732,4.909,-4.61,
0.139526,-11.16,-3.268,4.909,-7.61,
0.140805,-11.16,-8.268,-3.091,-7.61,
0.14215,-4.16,-9.268,-2.091,-13.61,
0.143427,-0.16,-4.268,-1.091,-7.61,
