2.81e-06,20,18,34,30,
0.0014408,15,19,33,27,
0.00273277,15,19,33,27,
0.00408271,15,19,33,27,
0.00539935,15,19,33,27,
0.00678041,15,19,33,27,
0.00821174,-4,15,15,30,
0.00968241,9,21,20,22,
0.0110011,39,31,16,25,
0.0123593,39,31,16,25,
0.0137217,34,31,19,33,
0.015051,24,37,28,34,
0.0164896,26,23,15,28,
0.0178908,26,23,15,28,
0.0193273,12,21,14,20,
0.0208101,1,17,17,22,
0.0221732,-8,8,22,27,
0.0235568,-3,4,30,22,
0.0249397,4,14,31,24,
0.0264115,4,14,31,24,
0.027769,11,24,30,22,
0.0290798,23,36,31,20,
0.0304562,23,36,31,20,
0.0318056,37,45,39,36,
0.0332734,21,25,30,42,
0.0347294,27,24,17,40,
0.0361373,19,19,9,40,
0.0376041,19,19,9,40,
0.0389401,4,20,8,29,
0.0402781,4,12,20,33,
0.0416098,12,5,23,32,
0.0430019,13,20,22,24,
0.0442973,26,20,24,28,
0.0457038,26,27,26,34,
0.0470585,26,27,26,34,
0.048406,44,26,32,29,
0.0499225,48,18,33,25,
0.0513252,48,16,23,28,
0.0526862,12,11,23,9,
0.0540886,3,16,22,19,
0.055406,-4,18,29,30,
0.0566989,2,8,16,25,
0.0580743,12,16,6,19,
0.0594433,18,12,12,24,
0.0608157,18,6,11,26,
0.0622406,27,35,29,44,
0.0637502,27,35,29,44,
0.0650763,27,35,29,44,
0.0664252,34,23,29,42,
0.0677172,18,29,29,34,
0.0690963,22,33,32,28,
0.0704804,23,25,23,20,
0.0718531,6,7,17,13,
0.0733843,-9,13,19,15,
0.0749766,-12,14,18,21,
0.0762971,-2,19,13,28,
0.0776819,13,19,20,26,
0.0790298,20,24,21,27,
0.0803762,31,21,30,38,
0.0817874,40,28,37,28,
0.0831131,40,30,30,23,
0.0844627,40,30,26,23,
0.0858585,30,16,21,29,
0.0873804,17,18,19,27,
0.0888757,17,18,19,27,
0.0903931,2,12,25,28,
0.0918081,12,3,25,29,
0.0931436,9,15,26,29,
0.0945119,8,21,17,27,
0.095946,16,27,20,26,
0.0973072,36,19,21,26,
0.0988261,45,33,31,22,
0.100611,45,33,31,22,
0.103913,29,35,29,30,
0.105362,29,35,29,30,
0.106787,29,35,29,30,
0.108139,29,35,29,30,
0.109602,29,35,29,30,
0.111106,29,35,29,30,
0.121897,12,13,16,27,
0.125833,-9,5,9,16,
0.12725,5,9,15,15,
0.128691,5,9,15,15,
0.130317,31,39,28,31,
0.132539,31,39,28,31,
0.134205,34,26,36,27,
0.135852,27,23,35,33,
0.137194,23,16,27,24,
0.138661,23,16,27,24,
0.14007,23,16,27,24,
0.141554,14,25,36,17,
0.143206,-3,18,30,20,
0.144662,4,7,6,18,
0.146137,4,7,6,18,
