2.914e-06,0,0,0,0,0,0,
0.00133006,0,0,0,0,0,0,
0.00271508,0,0,0,0,0,0,
0.00403962,0,0,0,0,0,0,
0.00537988,0,0,0,0,0,0,
0.00664834,0.34,-0.56,-0.32,-0.0115,-0.01,0,
0.00800816,0.34,-0.56,-0.32,-0.0115,-0.01,0,
0.00933188,0.34,-0.56,-0.32,-0.0115,-0.01,0,
0.0106661,0.34,-0.56,-0.32,-0.0115,-0.01,0,
0.0120199,0.34,-0.56,-0.32,-0.0115,-0.01,0,
0.0133525,0.34,-0.56,-0.32,-0.0115,-0.01,0,
0.0146921,0.34,-0.56,-0.32,-0.0115,-0.01,0,
0.0161571,0.34,-0.56,-0.32,-0.0115,-0.01,0,
0.0175535,0.34,-0.56,-0.32,-0.0115,-0.01,0,
0.0190465,0.34,-0.56,-0.32,-0.0115,-0.01,0,
0.020441,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.021881,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.0233788,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.0247165,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.0260636,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.0274828,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.028874,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.0302493,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.0317685,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.0331877,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.0345665,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.035951,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.0372969,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.0386452,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.0400468,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.0413866,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.0427778,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.0442088,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.0456424,0.22,-0.74,0.06,-0.008,0.0045,0.006,
0.0470967,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0484988,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.049912,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0512972,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0526942,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0540409,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0554435,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0568373,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0581945,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0595295,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0609387,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0623086,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0637329,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0654912,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0669417,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0687646,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0703398,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0717073,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0730408,-0.66,-0.02,1.42,0.0265,0.046,0.0135,
0.0743933,0,0.66,0.48,0.017,0.002,0.011,
0.0757961,0,0.66,0.48,0.017,0.002,0.011,
