2.914e-06,0,0,0,0,0,0,0,
0.00133006,0,0,0,0,0,0,0,
0.00271508,0,0,0,0,0,0,0,
0.00403962,0,0,0,0,0,0,0,
0.00537988,0,0,0,0,0,0,0,
0.00664834,0,0,0,0,0,0,0,
0.00800816,0,0,0,0,0,0,0,
0.00933188,0,0,0,0,0,0,0,
0.0106661,0,0,0,0,0,0,0,
0.0120199,0,0,0,0,0,0,0,
0.0133525,0,0,0,0,0,0,0,
0.0146921,0,0,0,0,0,0,0,
0.0161571,0,0,0,0,0,0,0,
0.0175535,0,0,0,0,0,0,0,
0.0190465,0,0,0,0,0,0,0,
0.020441,0,0,0,0,0,0,0,
0.021881,0,0,0,0,0,0,0,
0.0233788,0,0,0,0,0,0,0,
0.0247165,0,0,0,0,0,0,0,
0.0260636,0,0,0,0,0,0,0,
0.0274828,0,0,0,0,0,0,0,
0.028874,0,0,0,0,0,0,0,
0.0302493,0,0,0,0,0,0,0,
0.0317685,0,0,0,0,0,0,0,
0.0331877,0,0,0,0,0,0,0,
0.0345665,0,0,0,0,0,0,0,
0.035951,0,0,0,0,0,0,0,
0.0372969,0,0,0,0,0,0,0,
0.0386452,0,0,0,0,0,0,0,
0.0400468,0,0,0,0,0,0,0,
0.0413866,0,0,0,0,0,0,0,
0.0427778,0,0,0,0,0,0,0,
0.0442088,0,0,0,0,0,0,0,
0.0456424,0,0,0,0,0,0,0,
0.0470967,0,0,0,0,0,0,0,
0.0484988,0,0,0,0,0,0,0,
0.049912,0,0,0,0,0,0,0,
0.0512972,0,0,0,0,0,0,0,
0.0526942,0,0,0,0,0,0,0,
0.0540409,0,0,0,0,0,0,0,
0.0554435,0,0,0,0,0,0,0,
0.0568373,0,0,0,0,0,0,0,
0.0581945,0,0,0,0,0,0,0,
0.0595295,0,0,0,0,0,0,0,
0.0609387,0,0,0,0,0,0,0,
0.0623086,0,0,0,0,0,0,0,
0.0637329,0,0,0,0,0,0,0,
0.0654912,0,0,0,0,0,0,0,
0.0669417,0,0,0,0,0,0,0,
0.0687646,0,0,0,0,0,0,0,
0.0703398,0,0,0,0,0,0,0,
0.0717073,0,0,0,0,0,0,0,
0.0730408,0,0,0,0,0,0,0,
